# Evaluation: 0

# Evaluation: 100
EP=0.18977331452157045 HVMinus=-0.5829810975856198 | --algorithmResult population --createInitialSolutions sobol --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.7564453207835735 --crossoverRepairStrategy round --sbxDistributionIndex 144.12627148433924 --mutation powerLaw --mutationProbabilityFactor 1.5148722838578004 --mutationRepairStrategy round --powerLawMutationDelta 6.614169771938045 --selection ranking 
EP=0.18103961792332987 HVMinus=-0.5820690431541328 | --algorithmResult externalArchive --populationSizeWithArchive 55 --archiveType unboundedArchive --createInitialSolutions cauchy --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.6896758132688626 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.5826434893987562 --pcxCrossoverEta 0.7695255186970951 --mutation linkedPolynomial --mutationProbabilityFactor 1.1299854326412058 --mutationRepairStrategy random --linkedPolynomialMutationDistributionIndex 43.37079811677762 --selection ranking 

# Evaluation: 200
EP=0.1790844630195447 HVMinus=-0.5852511144631175 | --algorithmResult externalArchive --populationSizeWithArchive 38 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.19934689423094476 --crossoverRepairStrategy bounds --sbxDistributionIndex 106.58148169968942 --mutation powerLaw --mutationProbabilityFactor 1.7307804383393124 --mutationRepairStrategy round --powerLawMutationDelta 8.921620153701099 --selection tournament --selectionTournamentSize 3 
EP=0.1781168464271257 HVMinus=-0.583928203889561 | --algorithmResult externalArchive --populationSizeWithArchive 25 --archiveType unboundedArchive --createInitialSolutions default --offspringPopulationSize 400 --variation crossoverAndMutationVariation --crossover blxAlpha --crossoverProbability 0.4322947176837952 --crossoverRepairStrategy bounds --blxAlphaCrossoverAlpha 0.8281125393846198 --mutation linkedPolynomial --mutationProbabilityFactor 1.0734005870443244 --mutationRepairStrategy bounds --linkedPolynomialMutationDistributionIndex 226.96145043144827 --selection tournament --selectionTournamentSize 8 

# Evaluation: 300
EP=0.1790844630195447 HVMinus=-0.5852511144631175 | --algorithmResult externalArchive --populationSizeWithArchive 38 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 50 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.19934689423094476 --crossoverRepairStrategy bounds --sbxDistributionIndex 106.58148169968942 --mutation powerLaw --mutationProbabilityFactor 1.7307804383393124 --mutationRepairStrategy round --powerLawMutationDelta 8.921620153701099 --selection tournament --selectionTournamentSize 3 
EP=0.1765941064873693 HVMinus=-0.5850909853601182 | --algorithmResult externalArchive --populationSizeWithArchive 45 --archiveType unboundedArchive --createInitialSolutions latinHypercubeSampling --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover UNDC --crossoverProbability 0.014110950802110667 --crossoverRepairStrategy round --undcCrossoverZeta 0.6534048892884049 --undcCrossoverEta 0.3446430716787069 --mutation levyFlight --mutationProbabilityFactor 1.725418607148357 --mutationRepairStrategy round --levyFlightMutationBeta 1.1855049720614854 --levyFlightMutationStepSize 0.9938491932633373 --selection ranking 
EP=0.1751754133180323 HVMinus=-0.5847926374203392 | --algorithmResult externalArchive --populationSizeWithArchive 34 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 100 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.5391277115716961 --crossoverRepairStrategy round --blxAlphaBetaCrossoverBeta 0.15119858873439979 --blxAlphaBetaCrossoverAlpha 0.8007975632981567 --mutation powerLaw --mutationProbabilityFactor 1.4047078343629722 --mutationRepairStrategy bounds --powerLawMutationDelta 6.317682786164087 --selection ranking 
