# Evaluation: 0

# Evaluation: 100
EP=0.032337578859285274 HVMinus=-0.8449402624962682 | --algorithmResult externalArchive --populationSizeWithArchive 19 --archiveType crowdingDistanceArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.900938650843642 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9884067323500721 --blxAlphaBetaCrossoverAlpha 0.9428192456275962 --mutation uniform --mutationProbabilityFactor 1.946238207608822 --mutationRepairStrategy round --uniformMutationPerturbation 0.7637586223264636 --selection ranking 

# Evaluation: 200
EP=0.032337578859285274 HVMinus=-0.8449402624962682 | --algorithmResult externalArchive --populationSizeWithArchive 19 --archiveType crowdingDistanceArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.900938650843642 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9884067323500721 --blxAlphaBetaCrossoverAlpha 0.9428192456275962 --mutation uniform --mutationProbabilityFactor 1.946238207608822 --mutationRepairStrategy round --uniformMutationPerturbation 0.7637586223264636 --selection ranking 
EP=0.032027252358453835 HVMinus=-0.8440670926829661 | --algorithmResult population --createInitialSolutions default --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover SBX --crossoverProbability 0.9603884996151419 --crossoverRepairStrategy round --sbxDistributionIndex 140.1513615665236 --mutation levyFlight --mutationProbabilityFactor 1.3508212686658072 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.7615013446310215 --levyFlightMutationStepSize 0.3539545854147762 --selection tournament --selectionTournamentSize 9 

# Evaluation: 300
EP=0.026831709707305758 HVMinus=-0.8461441102101457 | --algorithmResult externalArchive --populationSizeWithArchive 19 --archiveType unboundedArchive --createInitialSolutions scatterSearch --offspringPopulationSize 1 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.9009474257380123 --crossoverRepairStrategy random --blxAlphaBetaCrossoverBeta 0.9884067323500721 --blxAlphaBetaCrossoverAlpha 0.909373776327292 --mutation uniform --mutationProbabilityFactor 1.94634491386829 --mutationRepairStrategy round --uniformMutationPerturbation 0.8303457405309026 --selection ranking 
EP=0.02539317016229767 HVMinus=-0.8460862092860578 | --algorithmResult externalArchive --populationSizeWithArchive 67 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.6381010278953909 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.37273614545580136 --pcxCrossoverEta 0.3877650361060165 --mutation levyFlight --mutationProbabilityFactor 1.8241095266834135 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2058841347826843 --levyFlightMutationStepSize 0.6038138538672246 --selection tournament --selectionTournamentSize 7 

# Evaluation: 400
EP=0.02539317016229767 HVMinus=-0.8460862092860578 | --algorithmResult externalArchive --populationSizeWithArchive 67 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.6381010278953909 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.37273614545580136 --pcxCrossoverEta 0.3877650361060165 --mutation levyFlight --mutationProbabilityFactor 1.8241095266834135 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2058841347826843 --levyFlightMutationStepSize 0.6038138538672246 --selection tournament --selectionTournamentSize 7 
EP=0.0259312796447854 HVMinus=-0.8464190691598759 | --algorithmResult externalArchive --populationSizeWithArchive 66 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 10 --variation crossoverAndMutationVariation --crossover PCX --crossoverProbability 0.6381010278953909 --crossoverRepairStrategy bounds --pcxCrossoverZeta 0.37273614545580136 --pcxCrossoverEta 0.3877650361060165 --mutation levyFlight --mutationProbabilityFactor 1.8241095266834135 --mutationRepairStrategy bounds --levyFlightMutationBeta 1.2058841347826843 --levyFlightMutationStepSize 0.6038138538672246 --selection tournament --selectionTournamentSize 7 

# Evaluation: 500
EP=0.02536484501820162 HVMinus=-0.8475722790687847 | --algorithmResult externalArchive --populationSizeWithArchive 43 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.656531023884198 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7045921246143136 --blxAlphaBetaCrossoverAlpha 0.7657280685008259 --mutation nonUniform --mutationProbabilityFactor 0.2918692936528904 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.8537094010317678 --selection boltzmann --boltzmannTemperature 14.293911402307048 
EP=0.023740804623355267 HVMinus=-0.8475113697662595 | --algorithmResult externalArchive --populationSizeWithArchive 43 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.656531023884198 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7045921246143136 --blxAlphaBetaCrossoverAlpha 0.7657280685008259 --mutation nonUniform --mutationProbabilityFactor 0.2918692936528904 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.8537094010317678 --selection boltzmann --boltzmannTemperature 14.293911402307048 

# Evaluation: 600
EP=0.02536484501820162 HVMinus=-0.8475722790687847 | --algorithmResult externalArchive --populationSizeWithArchive 43 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.656531023884198 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7045921246143136 --blxAlphaBetaCrossoverAlpha 0.7657280685008259 --mutation nonUniform --mutationProbabilityFactor 0.2918692936528904 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.8537094010317678 --selection boltzmann --boltzmannTemperature 14.293911402307048 
EP=0.023740804623355267 HVMinus=-0.8475113697662595 | --algorithmResult externalArchive --populationSizeWithArchive 43 --archiveType unboundedArchive --createInitialSolutions sobol --offspringPopulationSize 5 --variation crossoverAndMutationVariation --crossover blxAlphaBeta --crossoverProbability 0.656531023884198 --crossoverRepairStrategy bounds --blxAlphaBetaCrossoverBeta 0.7045921246143136 --blxAlphaBetaCrossoverAlpha 0.7657280685008259 --mutation nonUniform --mutationProbabilityFactor 0.2918692936528904 --mutationRepairStrategy random --nonUniformMutationPerturbation 0.8537094010317678 --selection boltzmann --boltzmannTemperature 14.293911402307048 

# Evaluation: 700
