Evaluation,SolutionId,EP,IGD+
100,0,0.4487657653493686,0.4397161441362766
200,0,0.23799672868987987,0.07011411184310073
300,0,0.23799672868987987,0.07011411184310073
300,1,0.12873823141162255,0.07012302342316078
400,0,0.11452162701275408,0.06196571258380501
500,0,0.11452162701275408,0.06196571258380501
500,1,0.13505906783471922,0.04701159921089234
600,0,0.10982871364786073,0.04411035252057897
600,1,0.10628993149637497,0.051348910790439
700,0,0.07820151024234476,0.040574569239277894
700,1,0.08333188801132392,0.04036687045063938
800,0,0.07820151024234476,0.040574569239277894
800,1,0.08333188801132392,0.04036687045063938
800,2,0.10052733231942709,0.036169342617924365
800,3,0.10489611655631685,0.034026522661818166
800,4,0.09974500531705677,0.03842490437706663
900,0,0.10489611655631685,0.034026522661818166
900,1,0.08874568639999292,0.034251928573959284
900,2,0.07361338116407347,0.03894778405365638
1000,0,0.06546847458002798,0.035569234791319744
1000,1,0.10891260432801116,0.031733552407231934
1000,2,0.08703347706387261,0.03398232970175179
