scope,front_type,budget,indicator,rank,parameter_family,mean_abs_shap,n_samples
RE3D,referenceFronts,1000,EP,1,mutationProbabilityFactor,0.00034004411509927246,230
RE3D,referenceFronts,1000,EP,2,blxAlphaBetaCrossoverBeta,0.00010321285959293176,230
RE3D,referenceFronts,1000,EP,3,blxAlphaBetaCrossoverAlpha,6.479459269581341e-05,230
RE3D,referenceFronts,1000,HVMinus,1,mutationProbabilityFactor,0.00015560116215912207,230
RE3D,referenceFronts,1000,HVMinus,2,nonUniformMutationPerturbation,2.603007841435691e-05,230
RE3D,referenceFronts,1000,HVMinus,3,crossoverProbability,2.0808398932224113e-05,230
RWA3D,referenceFronts,1000,EP,1,powerLawMutationDelta,0.00045845154909108073,237
RWA3D,referenceFronts,1000,EP,2,mutationProbabilityFactor,0.0001334086721631555,237
RWA3D,referenceFronts,1000,EP,3,crossoverProbability,7.342988632906397e-05,237
RWA3D,referenceFronts,1000,HVMinus,1,powerLawMutationDelta,7.706736368624625e-05,237
RWA3D,referenceFronts,1000,HVMinus,2,blxAlphaBetaCrossoverAlpha,3.067041634177539e-05,237
RWA3D,referenceFronts,1000,HVMinus,3,levyFlightMutationBeta,2.7812571199230026e-05,237
RE3D,extremePointsFronts,1000,EP,1,crossoverProbability,0.0001004140491946159,282
RE3D,extremePointsFronts,1000,EP,2,mutationProbabilityFactor,7.967104103577552e-05,282
RE3D,extremePointsFronts,1000,EP,3,selection,7.834941632582025e-05,282
RE3D,extremePointsFronts,1000,HVMinus,1,populationSizeWithArchive,0.00032065135545699097,282
RE3D,extremePointsFronts,1000,HVMinus,2,mutationProbabilityFactor,0.00016417498808128439,282
RE3D,extremePointsFronts,1000,HVMinus,3,crossoverProbability,0.0001089141749562839,282
RWA3D,extremePointsFronts,1000,EP,1,powerLawMutationDelta,9.433911946922307e-05,204
RWA3D,extremePointsFronts,1000,EP,2,populationSizeWithArchive,6.406710047444781e-05,204
RWA3D,extremePointsFronts,1000,EP,3,mutationProbabilityFactor,6.188819878204397e-05,204
RWA3D,extremePointsFronts,1000,HVMinus,1,crossoverProbability,6.729951191692196e-05,204
RWA3D,extremePointsFronts,1000,HVMinus,2,blxAlphaBetaCrossoverAlpha,2.529397594099721e-05,204
RWA3D,extremePointsFronts,1000,HVMinus,3,createInitialSolutions,2.5105104430110238e-05,204
